tolerance,attack_type,scenario_family,normal_false_rejection_rate,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
1.0,dataset_fdia,original_dataset,0.007514619883040936,36000,1551,33943,257,249,0.8578539823008849,0.8616666666666667,0.8597560975609756,0.13833333333333334,0.007514619883040936
1.0,nighttime_impossible,physics_impossible,0.007514619883040936,36000,1440,34303,257,0,0.8485562757807896,1.0,0.9180745935607268,0.0,0.0074363425925925925
1.0,above_bound,physics_impossible,0.007514619883040936,36000,1720,33964,236,80,0.8793456032719836,0.9555555555555556,0.9158679446219382,0.044444444444444446,0.006900584795321637
1.0,near_bound,stealth_physical_boundary,0.007514619883040936,36000,1029,33965,235,771,0.8140822784810127,0.5716666666666667,0.6716710182767625,0.42833333333333334,0.006871345029239766
1.0,within_bound_fraud,stealth_physical_boundary,0.007514619883040936,36000,0,33967,233,1800,0.0,0.0,0.0,1.0,0.006812865497076023
1.0,sensor_drift,temporal_persistence,0.007514619883040936,36000,2647,32721,211,421,0.9261721483554933,0.8627770534550195,0.8933513331083361,0.13722294654498043,0.006407141989554233
1.0,weather_spoofing,context_spoofing,0.007514619883040936,36000,219,33973,227,1581,0.4910313901345291,0.12166666666666667,0.19501335707925202,0.8783333333333333,0.006637426900584795
1.0,replay_attack,temporal_persistence,0.007514619883040936,36000,848,33616,224,1312,0.7910447761194029,0.3925925925925926,0.5247524752475248,0.6074074074074074,0.006619385342789598
1.0,neighbor_inconsistent_attack,coordination_inconsistency,0.007514619883040936,36000,0,33965,235,1800,0.0,0.0,0.0,1.0,0.006871345029239766
1.0,coordinated_near_bound,coordinated_stealth,0.007514619883040936,36000,1262,33841,214,683,0.8550135501355014,0.6488431876606684,0.737795966091786,0.3511568123393316,0.006283952429892821
1.0,intermittent_burst,temporal_persistence,0.007514619883040936,36000,392,35315,249,44,0.6115444617784711,0.8990825688073395,0.7279480037140204,0.10091743119266056,0.007001462152738724
1.005,dataset_fdia,original_dataset,0.0030701754385964912,36000,1551,34095,105,249,0.9365942028985508,0.8616666666666667,0.8975694444444444,0.13833333333333334,0.0030701754385964912
1.005,nighttime_impossible,physics_impossible,0.0030701754385964912,36000,1440,34455,105,0,0.9320388349514563,1.0,0.9648241206030151,0.0,0.0030381944444444445
1.005,above_bound,physics_impossible,0.0030701754385964912,36000,1719,34102,98,81,0.9460649422124381,0.955,0.9505114735969034,0.045,0.002865497076023392
1.005,near_bound,stealth_physical_boundary,0.0030701754385964912,36000,756,34101,99,1044,0.8842105263157894,0.42,0.5694915254237288,0.58,0.0028947368421052633
1.005,within_bound_fraud,stealth_physical_boundary,0.0030701754385964912,36000,0,34104,96,1800,0.0,0.0,0.0,1.0,0.002807017543859649
1.005,sensor_drift,temporal_persistence,0.0030701754385964912,36000,2620,32848,84,448,0.9689349112426036,0.8539765319426337,0.9078309078309078,0.14602346805736635,0.002550710555083202
1.005,weather_spoofing,context_spoofing,0.0030701754385964912,36000,119,34104,96,1681,0.5534883720930233,0.0661111111111111,0.11811414392059552,0.9338888888888889,0.002807017543859649
1.005,replay_attack,temporal_persistence,0.0030701754385964912,36000,828,33746,94,1332,0.8980477223427332,0.38333333333333336,0.537313432835821,0.6166666666666667,0.002777777777777778
1.005,neighbor_inconsistent_attack,coordination_inconsistency,0.0030701754385964912,36000,0,34102,98,1800,0.0,0.0,0.0,1.0,0.002865497076023392
1.005,coordinated_near_bound,coordinated_stealth,0.0030701754385964912,36000,1144,33974,81,801,0.9338775510204081,0.5881748071979435,0.7217665615141956,0.41182519280205654,0.0023785053589781236
1.005,intermittent_burst,temporal_persistence,0.0030701754385964912,36000,391,35463,101,45,0.7947154471544715,0.8967889908256881,0.8426724137931034,0.10321100917431193,0.0028399505117534586
1.01,dataset_fdia,original_dataset,0.0009941520467836257,36000,1551,34166,34,249,0.9785488958990536,0.8616666666666667,0.9163958641063514,0.13833333333333334,0.0009941520467836257
1.01,nighttime_impossible,physics_impossible,0.0009941520467836257,36000,1440,34526,34,0,0.9769335142469471,1.0,0.9883321894303363,0.0,0.0009837962962962962
1.01,above_bound,physics_impossible,0.0009941520467836257,36000,1718,34170,30,82,0.982837528604119,0.9544444444444444,0.9684329199549041,0.04555555555555556,0.0008771929824561404
1.01,near_bound,stealth_physical_boundary,0.0009941520467836257,36000,523,34168,32,1277,0.9423423423423424,0.29055555555555557,0.44416135881104035,0.7094444444444444,0.0009356725146198831
1.01,within_bound_fraud,stealth_physical_boundary,0.0009941520467836257,36000,0,34169,31,1800,0.0,0.0,0.0,1.0,0.0009064327485380117
1.01,sensor_drift,temporal_persistence,0.0009941520467836257,36000,2594,32903,29,474,0.9889439573008006,0.8455019556714471,0.9116148304340186,0.1544980443285528,0.0008806024535406292
1.01,weather_spoofing,context_spoofing,0.0009941520467836257,36000,56,34169,31,1744,0.6436781609195402,0.03111111111111111,0.059353471118177,0.9688888888888889,0.0009064327485380117
1.01,replay_attack,temporal_persistence,0.0009941520467836257,36000,814,33810,30,1346,0.9644549763033176,0.3768518518518518,0.5419440745672436,0.6231481481481481,0.0008865248226950354
1.01,neighbor_inconsistent_attack,coordination_inconsistency,0.0009941520467836257,36000,0,34167,33,1800,0.0,0.0,0.0,1.0,0.0009649122807017544
1.01,coordinated_near_bound,coordinated_stealth,0.0009941520467836257,36000,925,34030,25,1020,0.9736842105263158,0.4755784061696658,0.6390328151986182,0.5244215938303342,0.0007341065922771986
1.01,intermittent_burst,temporal_persistence,0.0009941520467836257,36000,391,35532,32,45,0.9243498817966903,0.8967889908256881,0.910360884749709,0.10321100917431193,0.000899786300753571
1.015,dataset_fdia,original_dataset,0.00023391812865497077,36000,1551,34192,8,249,0.994868505452213,0.8616666666666667,0.9234891336707353,0.13833333333333334,0.00023391812865497077
1.015,nighttime_impossible,physics_impossible,0.00023391812865497077,36000,1440,34552,8,0,0.994475138121547,1.0,0.9972299168975068,0.0,0.0002314814814814815
1.015,above_bound,physics_impossible,0.00023391812865497077,36000,1718,34193,7,82,0.9959420289855072,0.9544444444444444,0.9747517730496453,0.04555555555555556,0.00020467836257309941
1.015,near_bound,stealth_physical_boundary,0.00023391812865497077,36000,291,34192,8,1509,0.9732441471571907,0.16166666666666665,0.2772748928060981,0.8383333333333334,0.00023391812865497077
