trade_id,timestamp,hour,factory_id,city,energy_purchased_MW,tokens_burned,exergy_dissipated_MJ
TRD-00001,2026-04-01T07:00:00+08:00,7,FAC-BJ-01,Beijing,0.001522,1.4314,0.1325
TRD-00002,2026-04-01T07:00:00+08:00,7,FAC-SH-01,Shanghai,0.000973,0.9625,0.0632
TRD-00003,2026-04-01T07:00:00+08:00,7,FAC-CD-01,Chengdu,0.001438,1.3822,0.1853
TRD-00004,2026-04-01T08:00:00+08:00,8,FAC-SH-01,Shanghai,0.006978,6.727,0.5172
TRD-00005,2026-04-01T08:00:00+08:00,8,FAC-CD-01,Chengdu,0.00486,5.0778,0.6272
TRD-00006,2026-04-01T08:00:00+08:00,8,FAC-SZ-01,Shenzhen,0.005686,5.8889,0.5423
TRD-00007,2026-04-01T09:00:00+08:00,9,FAC-CD-01,Chengdu,0.013698,14.0826,1.647
TRD-00008,2026-04-01T09:00:00+08:00,9,FAC-SZ-01,Shenzhen,0.019574,20.7033,1.5773
TRD-00009,2026-04-01T09:00:00+08:00,9,FAC-HZ-01,Hangzhou,0.019174,18.8295,2.5031
TRD-00010,2026-04-01T10:00:00+08:00,10,FAC-SZ-01,Shenzhen,0.023006,24.6678,3.0746
TRD-00011,2026-04-01T10:00:00+08:00,10,FAC-HZ-01,Hangzhou,0.01882,19.2021,1.3318
TRD-00012,2026-04-01T10:00:00+08:00,10,FAC-SH-02,Shanghai,0.026162,24.6786,1.9214
TRD-00013,2026-04-01T11:00:00+08:00,11,FAC-HZ-01,Hangzhou,0.014552,15.0535,1.5225
TRD-00014,2026-04-01T11:00:00+08:00,11,FAC-SH-02,Shanghai,0.031821,33.3147,2.8286
TRD-00015,2026-04-01T11:00:00+08:00,11,FAC-BJ-01,Beijing,0.016196,15.9682,1.1356
TRD-00016,2026-04-01T12:00:00+08:00,12,FAC-SH-02,Shanghai,0.03328,32.2061,1.8487
TRD-00017,2026-04-01T12:00:00+08:00,12,FAC-BJ-01,Beijing,0.018269,18.528,1.4012
TRD-00018,2026-04-01T12:00:00+08:00,12,FAC-SH-01,Shanghai,0.017568,16.3752,1.029
TRD-00019,2026-04-01T13:00:00+08:00,13,FAC-BJ-01,Beijing,0.025944,28.0011,2.5267
TRD-00020,2026-04-01T13:00:00+08:00,13,FAC-SH-01,Shanghai,0.020255,21.8426,2.1414
TRD-00021,2026-04-01T13:00:00+08:00,13,FAC-CD-01,Chengdu,0.033982,36.3711,2.1725
TRD-00022,2026-04-01T14:00:00+08:00,14,FAC-SH-01,Shanghai,0.021324,20.8195,1.6726
TRD-00023,2026-04-01T14:00:00+08:00,14,FAC-CD-01,Chengdu,0.024994,23.4199,2.1865
TRD-00024,2026-04-01T14:00:00+08:00,14,FAC-SZ-01,Shenzhen,0.014346,13.9879,1.8898
TRD-00025,2026-04-01T15:00:00+08:00,15,FAC-CD-01,Chengdu,0.022899,21.9418,1.6974
TRD-00026,2026-04-01T15:00:00+08:00,15,FAC-SZ-01,Shenzhen,0.015906,14.9431,1.889
TRD-00027,2026-04-01T15:00:00+08:00,15,FAC-HZ-01,Hangzhou,0.01706,17.6087,2.2675
TRD-00028,2026-04-01T16:00:00+08:00,16,FAC-SZ-01,Shenzhen,0.017427,18.7684,1.9504
TRD-00029,2026-04-01T16:00:00+08:00,16,FAC-HZ-01,Hangzhou,0.010295,9.5935,0.7563
TRD-00030,2026-04-01T16:00:00+08:00,16,FAC-SH-02,Shanghai,0.015734,16.8094,1.5231
TRD-00031,2026-04-01T17:00:00+08:00,17,FAC-HZ-01,Hangzhou,0.01057,11.1514,1.4196
TRD-00032,2026-04-01T17:00:00+08:00,17,FAC-SH-02,Shanghai,0.005642,5.684,0.5005
TRD-00033,2026-04-01T17:00:00+08:00,17,FAC-BJ-01,Beijing,0.013333,12.5089,1.0165
TRD-00034,2026-04-01T18:00:00+08:00,18,FAC-SH-02,Shanghai,0.005054,5.3233,0.3802
TRD-00035,2026-04-01T18:00:00+08:00,18,FAC-BJ-01,Beijing,0.003894,3.6952,0.2517
TRD-00036,2026-04-01T18:00:00+08:00,18,FAC-SH-01,Shanghai,0.002479,2.6574,0.2692
TRD-00037,2026-04-01T19:00:00+08:00,19,FAC-BJ-01,Beijing,0.000513,0.5423,0.051
TRD-00038,2026-04-01T19:00:00+08:00,19,FAC-SH-01,Shanghai,0.00032,0.3105,0.0333
TRD-00039,2026-04-01T19:00:00+08:00,19,FAC-CD-01,Chengdu,0.000264,0.2496,0.0329
TRD-00040,2026-04-02T07:00:00+08:00,7,FAC-SH-01,Shanghai,0.001595,1.677,0.0928
TRD-00041,2026-04-02T07:00:00+08:00,7,FAC-CD-01,Chengdu,0.003226,3.1052,0.2405
TRD-00042,2026-04-02T07:00:00+08:00,7,FAC-SZ-01,Shenzhen,0.002661,2.7852,0.1682
TRD-00043,2026-04-02T08:00:00+08:00,8,FAC-CD-01,Chengdu,0.00428,4.5338,0.5228
TRD-00044,2026-04-02T08:00:00+08:00,8,FAC-SZ-01,Shenzhen,0.007183,6.9748,0.6929
TRD-00045,2026-04-02T08:00:00+08:00,8,FAC-HZ-01,Hangzhou,0.006931,6.5715,0.8028
TRD-00046,2026-04-02T09:00:00+08:00,9,FAC-SZ-01,Shenzhen,0.012405,12.3104,0.8153
TRD-00047,2026-04-02T09:00:00+08:00,9,FAC-HZ-01,Hangzhou,0.011864,12.6137,1.5935
